,Company Name,Competitors,Founded,Headquarters,Industry,Job Description,Job Title,Location,Rating,Revenue,Salary Estimate,Sector,Size,Type of ownership,avg_salary,min_salary,max_salary,age,python,sas,aws,spark,sql,tableau,tensorflow,nltk,power bi,excel,hadoop,azure,scikit-learn,NLP,r_prog,degree_req,job_simplifier,seniority,desc_len,competitor_count
125,"Wipro Limited","Cognizant Technology Solutions, Tata Consultancy Services, Accenture",1945,"Bengaluru, India",IT Services,"For Data Scientist Developer role:
1.Strong programming skill in C++, Object orientated programming and File based Design.
2.Hands-on experience of video Surveillance domain and algorithms evaluation / Testing [AI/ML/Deep learning domain]
3.Familiar with the Linux platform based development
4.Python/Go programming expertise â€“ highly preferred
5.Familiarity with Kaffe, tensor flow is very useful for C++ with python candidates

For QA / Automation Testing role:
1.Strong knowledge in Test Requirement analysis and Design, reviewing software requirements and preparing test scenarios and executing tests on software usability [AI/ML/Deep learning domain].
2.Good Knowledge in Automation using Python, JS Scripting.
3.Hands-on experience of video Surveillance domain and algorithms Testing/evaluation using different automation tools and standard compliance check.
4.Preparing reports on all aspects related to the software testing carried out and reporting to the design team.
5.API testing experience, testing of deep learning machine learning systems is very useful for testers.

4.00-9.00 Years",Data Scientist,Bengaluru,3.6,₹500+ billion (INR),"INR 907,072",Information Technology,10000+ employees,Company - Public,907072.0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,1114,3
126,"Bharat Light & Power",-1,-1,"New Delhi, India",-1,"Location: Bangalore

Skill Sets:
Strong learning acumen
Team Player
High sense of ownership
Ability to work in a fast-paced and deadline driven environment
Passion for technology
Highly skilled at Data Interpretation
Problem solver
Responsibilities:
Hypothesis testing, insights generation, root cause analysis, factor analysis
Statistical model (predictive & prescriptive) development using various statistical methods
Familiar with Machine learning techniques/algorithms
Test/train the model, Improve Model accuracy, Execute & Monitor model performance, prepare reports based on the results of the analysis
Data Extraction from various platforms such as SQL/Big Data Platform/Google CP, Dataset Preparation (creation of base data, aggregation, transformation), performing EDA
Qualifications:
Experience with data analysis/Modelling
Postgraduate with Engineering Background
Hands on exposure of machine learning concepts and algorithms
Must be fluent with any one of these Python, R or Java
Strong in statistical & machine learning concepts
Knowledge of Python Libraries – Scipy, Numpy, Pandas, IPython, Scikit-learn, Tensor-flow, Keras, Theano etc.
Strong Python skills for data wrangling / analysis / visualization / modeling
Experience with distributed big data processing (PySpark, Jupyter, Linux, AWS)
Deployed at least one industrial project using supervised / unsupervised machine learning",Data Scientist,Bengaluru,2.5,Unknown / Non-Applicable,"INR 680,000",-1,1 to 50 employees,Company - Private,680000.0,0,0,-1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,data scientist,na,1422,0
127,"Xome",-1,2012,"Lewisville, TX",Real Estate,"Ready to be a Cooper too? This might just be right up your alley!

We’re here to keep the dream of home ownership alive. Oh, and while we’re at it, we’re determined to change the lending industry itself. It’s simple, but it won’t be easy. And we’ll need a great team behind us. (That’s where you come in.) We want to show the world that transparency, candor and collaboration aren’t just good values. They’re good business. Working here isn’t for people who want to punch a clock. It’s for people who want to punch a hole in the status quo. Come join us. And make a difference instead of just a living.

Role/Responsibilities:
Develop novel solutions to market-driven problems using knowledge of the latest ML techniques, statistical analysis, and practical experience on previous data science projects.
Collaborate with stakeholders, business unit product owners, development teams to understand business needs and technical requirements
Work actively in all aspects of model development, including design, model implementation, validation, calibration, documentation, monitoring, and reporting
Research complex business issues and recommend solutions, including input requirements, other required data sets, modeling approaches, and end products

Required Skills and Experience:
Masters in a quantitative / applied field (Statistics) or PhD preferred
8+ years of experience in data science roles
3+ years in handling teams
Strong statistical foundation with broad knowledge of supervised and unsupervised techniques
Experience with predictive modeling (classification, regression, parameter tuning, optimization criteria, feature selection), preferably with multiple techniques is a requirement.
Experience in model validation techniques, model testing and continuous monitoring of model performance
Strong knowledge of programming and modeling using R and SAS (the candidate would work in Python ecosystem)
Strong SQL skills and experience working with large data sets.
Experience working collaboratively, including building and maintaining relationships with stakeholders/clients.
Experience advising a team on innovative methodologies, data science tools, and environments.
Ability to articulate complex technical concepts/ideas to both technical and non-technical audience.
Experience applying modern machine learning techniques
Very strong in identifying hidden use cases from dataset/ business interactions and come up with new solutions

Nice to Have Skills & Qualities

Flexibility to learn and apply new methodologies
Mortgage Industry experience /knowledge

Mr. Cooper is committed to nurturing a diverse and inclusive environment where every employee is empowered to be their authentic self. We know that a large part of our success as a business is directly tied to our ongoing efforts to attract and retain diverse talent and maintain an inclusive environment where each employee can thrive. Embracing and leveraging diversity through an inclusive work environment fosters new ideas, new insights, and constant innovation. We strive to weave the principles of diversity and inclusion throughout the fabric of how we work, how we interact, and how we engage with our customers and the community.

Job Requisition ID:
011698

Job Category:
Information Technology

Primary Location City:
Chennai

Primary Location Region:
Tamil Nadu

Primary Location Postal Code:
600089

Primary Location Country:
India

Posting Organization:
Xome

Line of Business:
Information Technology

Additional Posting Location(s):
Alternate Requisition:
No",Data Scientist,Chennai,3.0,Unknown / Non-Applicable,"INR 1,323K - INR 1,447K",Real Estate,1001 to 5000 employees,Company - Private,1385000.0,1323000,1447000,8,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,3602,0
128,"Ericsson-Worldwide","Huawei Technologies, IBM, Cisco Systems",1876,"Stockholm, Sweden",Telecommunications Services,"Date: Jun 30, 2020

Ericsson is one of the leading providers of Information and Communication Technology (ICT) to service providers. We enable the full value of connectivity by creating game-changing technology and services that are easy to use, adopt, and scale, making our customers successful in a fully connected world. Headquartered in Stockholm, Sweden, Ericsson is proud of its global presence across 100+ countries and market areas. With a strong focus on innovation, we possess 49 thousand registered patents and a global strength of over 95 thousand competent professionals. We also take pride in supporting networks that cater to a capacity of 40 percent of the world’s mobile traffic, thereby connecting more than 2.5 billion subscribers and counting. We are a world leader in the rapidly changing environment of communications technology – by providing hardware, software, and services to enable the full value of connectivity.

Senior Data Scientist – Product Development (Global AI Accelerator India)

Job Description

Ericsson Overview:

Ericsson is world’s leading provider of communications technology and services. Our offerings include services, consulting, software and infrastructure within Information and Communications Technology.

Using innovation to empower people, business and society, Ericsson is working towards the Networked Society: a world connected in real time that will open up opportunities to create freedom, transform society and drive solutions to some of our planet’s greatest challenges.

We are truly a global company, operating across borders in over 180 countries, offering a diverse, performance-driven culture and an innovative and engaging environment. As an Ericsson employee, you will have freedom to think big and the support to turn ideas into achievements. Continuous learning and growth opportunities allow you to acquire the knowledge and skills necessary to progress and reach your career goals. We invite you to join our team.

Exciting Opportunity:

It will be practically impossible for human brains to understand how to run and optimize next generation of wireless networks, i.e., 5G network with distributed edge compute, that will drive economic and social transformation for all aspects of society. Machine Learning (ML) and other Artificial Intelligence (AI) technologies will be vital for us to handle this opportunity. We are setting up a Global AI Accelerator (GAIA) in the US, Sweden and India, with 300 experts, to fast-track our strategy execution.

Machine Intelligence, the combination of Machine Learning and other Artificial Intelligence technologies is what Ericsson uses to drive thought leadership to automate and transform Ericsson offerings and operations. MI is also a key competence for to enable new and emerging business. This includes development of models, frameworks and infrastructure where we in our advancements push the technology frontiers. We engage in both academic and industry collaborations and drive the digitalization of Ericsson and the Industry by developing state of the art solutions that simplify and automate processes in our products and services and build new value through data insights.

Ericsson is now looking for Senior Data Scientists to significantly expand its global team for AI acceleration for our group in Chennai.

Do you have in depth understanding of Machine Learning and AI technologies?

Do you want to apply and extend those skills to solve real complex problems with high societal impact; going beyond ML/AI for consumption and advertising?

Then, you do want to join Ericsson’s global team of Engineers/Scientists pushing the technology frontiers to automate, simplify and add new value through large and complex data.

Role Summary:

As a Senior Data Scientist, you shall build and deploy AI models into production with focus on scaling, monitoring and performance. You shall build effective AI models using stacking/ensemble techniques; and provide prediction explainability and prescriptive capability in ML models. You shall work with business stakeholders to define and formulate the right business problem.

Your knowledge and experience in Data Science methodologies will be applied to solve challenging real-world problems as part of a highly dynamic and global team. You will work in a highly collaborative environment where you communicate and plan tasks and ideas. You will be working on high impact initiatives with other DS in Machine Intelligence to drive growth and economic profitability for Ericsson and its customers by accelerating current Ericsson offerings. Your contribution will also help to create new offerings in the areas of MI driven 4G and 5G network, distributed cloud, IoT and other emerging businesses.

Key Responsibilities:
Lead multiple AI/ML projects for a certain product/business
Manage communication, planning, collaboration and feedback loops with business stakeholders.
Work with huge datasets including petabytes of 4G/5G-networks, IoT and exogenous data
Identify the model monitoring strategy in prod and retraining plan.
Define data sourcing, access and pipeline design. Identify and plan for sourcing external data.
Model the business problem statement into AI/ML problem.
Define the Data sourcing strategy and works with stakeholders to procure data. Contribute to IP creation for Ericsson in AI/ML
Define/Design data storage and retrieval strategies from various kind of data sources such as NOSQL Databases. Design data pipelines and flow strategies.
Design APIs for AI/ML models with focus on business, modularity and versioning; and build standard/canonical data models by combining multiple data sources.
Lead functional and technical analysis within Ericsson businesses and for strategic customers to understand MI-driven business needs and opportunities
Contribute to rapid and iterative development of validated minimum viable solutions addressing these needs. This includes working with petabytes of 4G/5G-networks, IoT and exogenous data, and proposing/selecting/testing predictive models, recommendation engines, anomaly detection systems, statistical models, deep learning, reinforcement learning and other machine learning systems
Lead studies and creative usage of new and/or existing data sources. Work with Data Architects to leverage existing data models and build new ones as needed.
Collaborate with product development teams and partners in Ericsson Businesses to industrialize machine learning models and solutions as part of Ericsson offerings including providing source code, workflows and documents
Work with new technologies and be the ambassador for them in MI Communities within Ericsson, nurturing the communities and mentoring junior data scientists.
Provide MI Competence build-up in Ericsson Businesses and Customer Serving Units
Develop new and apply/extend existing, concepts, methodologies, techniques for cross functional initiatives
Engage with external ecosystem (academia, technology leaders, open source etc.) to develop the skills and technology portfolio for MI’s needs
Present and be prominent in MI related forums and conferences, e.g., publishing patents, presenting papers, organizing sessions etc.
Key Qualifications:
Bachelors/Masters/Ph.D. in Computer Science, Data Science, Artificial Intelligence, Machine Learning, Electrical Engineering or related disciplines from any of the reputed institutes. First Class, preferably with Distinction.
Applied experience: 8+ years of ML and/or AI production level experience; and an overall industry experience of about 15+ years.
Proven skills of implementing a variety of Machine Learning techniques
Strong Programming skills (R/Python) with proficiency in at least one
Strong grounding in mathematics, probability, statistics needed for data analysis and experiments
Proven ability of leading AI/ML projects end-to-end with complete ownership
Proven skills in building AI/ML based solutions using a variety of frameworks such as Python, R, H2O, Keras, TensorFlow, Spark ML etc.
Experience in implementing new algorithms and methodologies from leading open source initiatives and research papers
Extensive experience in model development and life-cycle-management in one or more industry/application domain
Experience in building models using semi-structured and unstructured data
Hands-on experience in designing and building AI models using Deep Neural Networks for applicable scenarios
Experience in using ensembles and stacking techniques to solve complex ML problems
Able to build and deploy AI models into production with focus on scaling, monitoring and performance
Knowledge of building explainable models (XAI) and prescriptive analytics
Experience with working in Big Data technologies such as Hadoop, Cassandra etc.
Able to Define/Design data storage and retrieval strategies from various kind of data sources such as NOSQL DBs
Knowledge of designing data pipelines and flow strategies
Familiarity with data pipelining frameworks such as Air Flow, AWS Sagemaker, etc. would be a plus
Able to design APIs for AI/ML models with focus on business, modularity and versioning
Experience in writing and presenting white papers, journal articles and technical blogs on the results
Soft Skills:
Good communication skills in written and spoken English
Great Team worker and collaborator
Creativity and ability to formulate problems and solve them independently
Self-driven and ability to work through abstraction
Ability to build and nurture internal and external communities
Additional Requirements:
Certifying MI MOOCS, a plus
Applications/Domain-knowledge in Telecommunication and/or IoT, a plus.
Experience with data visualization and dashboard creation is a plus
Knowledge of Cognitive models is a plus
Ability to work independently with high energy, enthusiasm and persistence
Experience in partnering and collaborative co-creation, i.e., working with complex multiple stakeholder business units, global customers, technology and other ecosystem partners in a multi-culture, global matrix organization with sensitivity and persistence

What’s in it for you?

With over 90,000 employees across 180+ countries, we have a culture that respects and supports your ambitions, in alignment with our values of Respect, Professionalism and Perseverance. Ericsson is extremely focused on learning and development, supports mobility and flexible working hours. We are also committed to diversity and inclusion and to be a responsible and relevant driver of positive change. We also offer some awesome benefits, amazing career development and training programs to provide an empowered career in a connected world.

Next Steps:

What happens next once you apply? Read about the next steps here

For your prep and reference, here is our overall Brand video and some insights about our innovations in 5G

……………………………………………………………………………………………………………………………………

Ericsson provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetics. Ericsson complies with applicable country, state and all local laws governing nondiscrimination in employment in every location across the world in which the company has facilities. In addition, Ericsson supports the UN Guiding Principles for Business and Human Rights and the United Nations Global Compact. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, training and development. Ericsson expressly prohibits any form of workplace harassment based on race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetic information

Ericsson provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetics. Ericsson complies with applicable country, state and all local laws governing nondiscrimination in employment in every location across the world in which the company has facilities. In addition, Ericsson supports the UN Guiding Principles for Business and Human Rights and the United Nations Global Compact. This policy applies to all terms and conditions of employment, including recruiting, hiring, placement, promotion, termination, layoff, recall, transfer, leaves of absence, compensation, training and development. Ericsson expressly prohibits any form of workplace harassment based on race, color, religion, sex, sexual orientation, marital status, pregnancy, parental status, national origin, ethnic background, age, disability, political opinion, social status, veteran status, union membership or genetic information.
—",Senior Data Scientist,Chennai,3.9,₹500+ billion (INR),"INR 3,105K - INR 3,348K",Telecommunications,10000+ employees,Company - Public,3226500.0,3105000,3348000,144,1,0,1,1,1,0,1,0,0,0,1,0,0,0,1,0,data scientist,senior,13365,3
129,"Skoruz",-1,2007,"Fullerton, CA",IT Services,"Bangalore, Karnataka - India | Posted - 19/02/2020

Overview

Primary skills

Machine learning models for real-world problems using Python, R, or other languages
Deep Learning using Tensorflow, PyTorch using Keras or fast.ai

Secondary skills

GCP, AWS, Azure

Nice to have skills

Hadoop, Hive, Pig and Spark

Details of the kind of project / client the candidate would be working on

Inhouse Product Development for Skoruz

Details of the kind of projects you would prefer the candidate to have worked on

Expertise in SQL is a must

Any specific domain / industry experience that you would prefer the candidate to have

Exposure to Social Media Data management is a plus, but not mandatory

Few KRA’s the candidate would have and should have had in the past

Should have delivered end to end Data Data Solutions

Details of the role the candidate would play in the organization / project

Design and develop end to end data pipeline and management for Product Development on AWS Stack, mentor junior team members as we grow the team, Take lead on client engagements as and when necessary (Secondary Responsibility)

Years of experience

5 to 8 years
Job Details
N/A
Contact Person Details
Gangadhar T M",Data Scientist,Bengaluru,4.0,₹1 to ₹5 billion (INR),INR 707K - INR 755K,Information Technology,201 to 500 employees,Company - Private,731000.0,707000,755000,13,1,0,1,1,1,0,1,0,0,0,1,1,0,0,1,0,data scientist,na,1248,0
130,"People Interactive Pvt Ltd.",-1,1996,"Mumbai, India",Internet,"Overview:
The team that looks at constantly extracting valuable information for use in strategic decision making, product development, trend analysis, and forecasting. We deal with all kinds of structured/unstructured (image, text, etc) data and build data-driven solutions to solve customer problems. Our continued endeavor is to help users find a suitable match for themselves at the earliest.

Here is what we look for in a Data Scientist :
At Shaadi, we always put our users first. We are looking for A Data Scientist who is continuously adapting to new technologies and excited to work on products that affect millions of people every day.
Be the USER: Start by looking at things from the user’s perspective and don’t stop until you’ve evaluated
how the solution has impacted the user.
Deliver WOW: Never settle for mediocrity. Aspire for new user benchmarks and operational/technical excellence.
Passionately seek unconventional solutions that have the potential of redefining customer expectations.
Embrace & Drive CHANGE: Embrace curiosity. Accept and enthusiastically encourage change while
questioning the status quo and showing initiative. Never let the fear of failing hold you back.

Role :
A Data Scientist is responsible for understanding and deriving insights from the data collected by the company. He would be responsible for maintaining the data and building models from scratch using this data and also tuning and improving existing models as per business requirements.

What you will do in this role
Work with Product to identify opportunities for leveraging data to drive business solutions.
Preprocess large amounts of structured and unstructured data and analyze it to discover trends and patterns
Develop custom data models and algorithms, Use predictive modeling to increase and optimize customer
experiences, revenue generation, user-to-user discovery (matchmaking), weed out fraudster & scammers.
Collaborate with engineering and product teams in deploying the Models.
Develop processes and tools to monitor and analyze model performance and data accuracy.
What you should have
2-3 years of Data Science & Machine Learning experience in consumer internet products and technologies or B2C business.
Graduate/Post Graduate in Statistics, Computer Science or Engineering preferred; other graduate degrees should at least completed a diploma/certification in Data Science.
Machine learning Skills: Expertise in recommender systems, user profiling, natural language processing, image processing and other machine learning and predictive modeling techniques is required
Statistical Skills: Ability to work with large data sets and to interpret them statistically, find patterns (including anomaly detection) is expected.
Programming Skills: Proficiency in R, Python & SQL is required along with hands-on experience of Numpy/Pandas/scikit-learn/Keras/Theano/TensorFlow (or similar) preferred.
Visualization Skills: Ability to work with data warehousing solutions like Redshift, exposure to BI tools such as Looker or Tableau will be useful.
Strong Problem-solving aptitude
Brownie Points
Experience in working with big data platforms such as Hadoop, Spark, Hive, Pig will be useful.
Exposure to BI tools such as Looker or Tableau will be useful.",Data Scientist,Mumbai,4.4,Unknown / Non-Applicable,"INR 1,013K - INR 1,097K",Information Technology,1001 to 5000 employees,Company - Private,1055000.0,1013000,1097000,24,1,0,0,1,1,1,1,0,0,1,1,0,1,0,1,0,data scientist,na,3298,0
131,"Indecomm Global Services India Private Limited",-1,2003,"Edison, NJ",IT Services,"SkillData Scientist
Experience7-9yrs
Job Location:Bangalore.

Job Description:
3 year of relevant experience
Expertise in machine / deep learning, and used various complex algorithms related to NLP, Recommendation Systems, Scoring, etc.
Good knowledge on different Neural Networks (RNN, CNN), Tensor Flow, NeuMF, Google Cloud API, etc.
00-9.00 Years",Data Scientist,Bengaluru,3.1,₹10 to ₹50 billion (INR),"INR 1,359K - INR 1,490K",Information Technology,1001 to 5000 employees,Company - Private,1424500.0,1359000,1490000,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,data scientist,na,357,0
132,"J.P. Morgan",-1,1799,"New York, NY",Investment Banking & Asset Management,"JPMC is looking at expanding our digital capabilities and we are investing in growth opportunities for various businesses. We are looking for commercially minded, customer focused, hands on engineers, who want to be a part of building exciting product offering. A core responsibility is to produce secure, scalable technical solutions to support our market leading products.

Culture is as important to us and we are looking for intellectually curious and honest, passionate, hungry individuals who would like to expand their skills whilst working on a new exciting venture for the firm. This role will be based in Bangalore, India. A JPMorgan Chase & Co.'s global team of technologists and innovators, helps to positively impact the company, as well as our clients and our business partners around the world.

The success of this business relies on the platform that will be built - we will be using a stack that is cloud native relying on cutting edge technology and seek full stack minded engineers.

In this role, the candidate will be responsible for providing analytical SQL support to various functions within the business. Over time, the support will also extend to providing statistical analysis and consequently, this role will suit a candidate looking to extend their analytical capabilities.

Key Responsibilities
Provide analytical support using SQL in order to help Business-LOBs to measure KPIs or perform ad-hoc data exploration
Gain familiarity with a variety of data sources ranging from incoming event-streams to tabular data across various LOBs
Help the LOB stakeholders innovate through data-driven decisioning by querying data and merging information from diverse data sources to create rich datasets that enable better decision-making
Work with other Analytics teams and multi-task on projects to summarize and synthesize data and present recommendations to the businesses in a clear and logical manner
Identify unexplored data opportunities for the business to unlock and maximize the potential of digital data within the organization
Support ongoing technology evaluation process and proof of concept projects
Qualifications
Proven working experience as a data analyst or business data analyst
Knowledge of modern MPP databases and big-data (Hadoop) concepts
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Experience with relational databases utilizing SQL to pull and summarize large datasets, report creation and ad-hoc analyses
Experience in agile reporting development and ability to interpret unstructured data and draw objective inferences given known limitations of the data
Demonstrated ability to think beyond raw data and to understand the underlying business context and sense business opportunities hidden in data
Strong written and oral communication skills; ability to communicate effectively with all levels of management and partners from a variety of business functions
Self-starter who can provide insights and drive results in a dynamic and fast evolving environment
Ability to define and track project deliveries through to implementation
Proactive/self-starter with the ability to deliver value-added support to business partners in a dependable, timely and accurate manner
Adept at multi-tasking and meeting deadlines in high-pressure environment
JPMorgan Chase & Co., one of the oldest financial institutions, offers innovative financial solutions to millions of consumers, small businesses and many of the world's most prominent corporate, institutional and government clients under the J.P. Morgan and Chase brands. Our history spans over 200 years and today we are a leader in investment banking, consumer and small business banking, commercial banking, financial transaction processing and asset management.

We recognize that our people are our strength and the diverse talents they bring to our global workforce are directly linked to our success. We are an equal opportunity employer and place a high value on diversity and inclusion at our company. We do not discriminate on the basis of any protected attribute, including race, religion, color, national origin, gender, sexual orientation, gender identity, gender expression, age, marital or veteran status, pregnancy or disability, or any other basis protected under applicable law. In accordance with applicable law, we make reasonable accommodations for applicants' and employees' religious practices and beliefs, as well as any mental health or physical disability needs.",Data Analyst - Associate,Bengaluru,3.9,₹500+ billion (INR),INR 124K - INR 133K,Finance,10000+ employees,Company - Public,128500.0,124000,133000,221,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,data analyst,na,4797,0
133,"Tredence",-1,2013,"San Jose, CA",Consulting,"Analytics Consultant

Bengaluru, India
JOB DESCRIPTION

As an Analytics Consultant with Tredence you will work in a challenging environment with smart peer group. In your role, you will work hands on and provide thought leadership to real life business problems using analytical thinking and by applying complex mathematical techniques.
THE IDEAL CANDIDATE WILL

Solve business problems which involves:
Brainstorming with clients/onsite and internal teams to define a problem
Translate the business problem into an analytical problem
Identify internal and external data requirements for solving the analytical problem
Solving the analytical problem using concepts from mathematics, statistics, Artificial Intelligence and Machine learning
Translate the solution to a business solution and create artefacts that can help communicate the solution to clients like dashboards, power point slides, excel sheets etc.
Understand challenges faced by our clients in the context of their business and industry
Work hands on and provide thought leadership to real life business problem
Use analytical thinking and apply complex mathematical techniques
Work in a challenging environment with smart peer group
ELIGIBILITY CRITERIA

Bachelors in Engineering or Masters in Statistics/Economics
At least 5 years of working experience in analytics
Experience in statistical techniques such as Regression, Clustering & Time Series Forecasting, etc.
Strong analytical/logical thinking and communication skills
Proficient in:
SQL, R and/or Python
Visualization tools like Tableau or SpotFire
Send your CV to careers@tredence.com",Analytics Consultant,Bengaluru,3.5,₹1 to ₹5 billion (INR),"INR 1,498,269",Business Services,501 to 1000 employees,Company - Private,1498269.0,0,0,7,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,na,na,1635,0
134,"Thoucentric",-1,2015,"Bengaluru, India",Consulting,"We are looking for a Data Scientist to help us create machine learning products. Data Scientist responsibilities include understanding the business problem and experimenting with different modelling architectures to create the best possible setup from model performance as well as computational performance. To do this job successfully, you need exceptional skills in Machine Learning and Programming. Your ultimate goal will be to find the best data-based solution for the problem at hand

Job Description:
Understanding business objectives and developing models that help to achieve them, along with metrics to track their progress
Develop and maintain robust data processing pipelines and reproducible modelling pipelines
Build mathematical models to solve various problems ranging from Time Series forecasting to Neural Networks and ensure seamless deployment in production pipelines.
Explore data and communicate insights clearly to non-technical as well as technical audience
Analyze experimental results, iterate and refine models to create significant business impact
Follow strict coding standards and other software engineering best practices and be the proponent of the culture in the organization.
Requirements
Bachelors Degree in a Quantitative discipline
1-2 years experience in data science/Analytics roles
Expert Proficiency in Time Series Forecasting Classical & Machine Learning
Proven experience as a Data Scientist or similar role
Expert ability to write robust code in Python
Familiarity with machine learning frameworks (like Tensorflow or PyTorch) and libraries (like scikit-learn , StatsModels )
Should be proficient in evaluation metrics (MAPE, F1, RMSE, Confusion Matrix)
Should possess strong problem-solving skills
Excellent verbal and written communication skills
You take complete ownership of your work and are self-driven.
Good to Have
Deep Learning Frameworks like Tensorflow, PyTorch etc.
Familiarity in working with Azure, AWS, GCP etc.
Experience with NoSQL databases, such as MongoDB, Cassandra
Experience with containerizing applications using Docker",Data Scientist _,Bengaluru,4.8,Unknown / Non-Applicable,"INR 706,139",Business Services,51 to 200 employees,Company - Private,706139.0,0,0,5,1,0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,data scientist,na,2112,0
135,"Amazon","Google, Microsoft, Walmart",1994,"Seattle, WA",Internet,"Excited by Big Data, Machine Learning and Predictive Software? Interested in creating new state-of-the-art solutions using Machine Learning and Data Mining techniques on Terabytes of Data?
At Amazon, we are developing state-of-the-art large-scale Machine Learning Services and Applications on the Cloud involving Terabytes of data. We work on applying predictive technology to a wide spectrum of problems in areas such as Amazon Retail, Seller Services, Customer Service, Alexa, Chatbots and so on. We are looking for talented and experienced Machine Learning Scientists (Masters/Ph.D. in a related area preferred) who can apply innovative Machine Learning techniques to real-world e-Commerce problems. You will get to work in a team dedicated to advancing Machine Learning technology at Amazon and converting it to business-impacting solutions.
Major responsibilities
- Use machine learning, data mining and statistical techniques to create new, scalable solutions for business problems
- Analyze and extract relevant information from large amounts of Amazons historical business data to help automate and optimize key processes
- Design, develop and evaluate highly innovative models for predictive learning
- Establish scalable, efficient, automated processes for large scale data analyses model development, model validation and model implementation
- Research and implement novel machine learning and statistical approaches




Basic Qualifications

- A PhD in Computer Science, Machine Learning, Operational research, Statistics or in a highly quantitative field
- Experience in predictive modelling and analysis, predictive software development
- Strong problem-solving ability
- Good skills with Java/Scala or C++, Perl/Python (or similar scripting language)
- Experience in using R, Matlab, or any other statistical software
- Strong communication and data presentation skills



Preferred Qualifications

- Experience handling gigabyte and terabyte size datasets
- Experience working with distributed systems and grid computing
- Knowledge of the latest and state of the art ML technology
- Publications or presentation in recognized Machine Learning and Data Mining journals/conferences",Applied Scientist,Bengaluru,4.3,₹500+ billion (INR),"INR 70,000/mo",Information Technology,10000+ employees,Company - Public,840000.0,0,0,26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,na,na,2225,3
